object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 312 
object alloc, Thread is main, class is Ljava/lang/String;, size is 48, tag is 313 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 314 
object alloc, Thread is main, class is Ljava/lang/String;, size is 80, tag is 315 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 316 
object alloc, Thread is main, class is Ljava/lang/String;, size is 48, tag is 317 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 318 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 319 
object alloc, Thread is main, class is Ljava/lang/String;, size is 48, tag is 320 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 321 
object alloc, Thread is main, class is [C, size is 48, tag is 322 
object alloc, Thread is main, class is [C, size is 80, tag is 323 
object alloc, Thread is main, class is [C, size is 152, tag is 324 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 325 
object alloc, Thread is main, class is Lmiui/content/res/ThemeZipFile;, size is 40, tag is 326 
object alloc, Thread is main, class is Ljava/lang/ref/FinalizerReference;, size is 40, tag is 327 
object alloc, Thread is main, class is Ljava/lang/ref/WeakReference;, size is 24, tag is 328 
object alloc, Thread is main, class is Ljava/util/HashMap$Node;, size is 24, tag is 329 
object alloc, Thread is main, class is Ljava/io/File;, size is 24, tag is 330 
object alloc, Thread is main, class is [C, size is 88, tag is 331 
object alloc, Thread is main, class is Ljava/util/ArrayList;, size is 24, tag is 332 
object alloc, Thread is main, class is Ljava/util/ArrayList;, size is 24, tag is 333 
object alloc, Thread is main, class is Lmiui/content/res/ThemeResources$FilterInfo;, size is 32, tag is 334 
object alloc, Thread is main, class is Lmiui/content/res/ThemeValues;, size is 24, tag is 335 
object alloc, Thread is main, class is Ljava/util/HashMap;, size is 40, tag is 336 
object alloc, Thread is main, class is Ljava/util/HashMap;, size is 40, tag is 337 
object alloc, Thread is main, class is Ljava/util/HashMap;, size is 40, tag is 338 
object alloc, Thread is main, class is Ljava/util/HashMap;, size is 40, tag is 339 
object alloc, Thread is main, class is Lcom/miui/internal/content/res/ThemeFallback;, size is 16, tag is 340 
object alloc, Thread is main, class is Ljava/util/HashMap;, size is 40, tag is 341 
